Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France métropolitaine, Martinique et La Réunion - Communes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 19/06/2018       Géographie au 01/01/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Médiane du niveau vie (€);Part des ménages fiscaux imposés (%);Taux de pauvreté-Ensemble (%);Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté-propriétaires (%);Taux de pauvreté-locataires (%);Part des revenus d'activité (%);dont part des salaires et traitements hors chômage (%);dont part des indemnités de chômage (%);dont part des revenus des activités non salariées (%);Part des pensions, retraites et rentes (%);Part des revenus du patrimoine et autres revenus (%);Part de l'ensemble des prestations sociales (%);dont part des prestations familiales (%);dont part des minima sociaux (%);dont part des prestations logement (%);Part des impôts (%);1er décile du niveau de vie (€);9e décile du niveau de vie (€);Rapport interdécile 9e décile/1er décile
CODGEO;LIBGEO;NBMENFISC15;NBPERSMENFISC15;MED15;PIMP15;TP6015;TP60AGE115;TP60AGE215;TP60AGE315;TP60AGE415;TP60AGE515;TP60AGE615;TP60TOL115;TP60TOL215;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15;D115;D915;RD15
01001;L'Abergement-Clémenciat;308,0;801,0;22228,0;;;;;;;;;;;;;;;;;;;;;;;;
01002;L'Abergement-de-Varey;100,0;245,5;22883,3;;;;;;;;;;;;;;;;;;;;;;;;
01004;Ambérieu-en-Bugey;6216,0;13917,0;19735,2;53,3;17,2;19,1;20,9;22,5;16,6;;;6,1;27,0;72,7;65,6;3,3;3,9;26,9;9,5;6,7;2,7;2,0;2,0;-15,8;10398,6;33801,2;3,3
01005;Ambérieux-en-Dombes;624,0;1671,5;23182,7;;;;;;;;;;;;;;;;;;;;;;;;
01006;Ambléon;;;;;;;;;;;;;;;;;;;;;;;;;;;
01007;Ambronay;1044,0;2635,5;21986,5;60,6;;;;;;;;;;76,3;71,2;2,5;2,6;26,7;8,1;4,0;2,4;0,8;0,8;-15,1;13620,7;34606,9;2,5
01008;Ambutrix;308,0;768,0;24389,1;;;;;;;;;;;;;;;;;;;;;;;;
01009;Andert-et-Condon;137,0;327,5;23070,7;;;;;;;;;;;;;;;;;;;;;;;;
01010;Anglefort;436,0;1049,0;22527,3;;;;;;;;;;;;;;;;;;;;;;;;
